Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Antic,https://www.crunchbase.com/organization/Antic,For Profit,Private,Seed,"Asset Management, Blockchain, FinTech","Antic’s scalable infrastructure is intended for any business seeking the addition of a co-ownership layer to their offerings. Its infrastructure freely enables businesses and individuals to do whatever they want with whatever they own - sell it, provide access to it, add additional co-owners to it and more. With original, seamless co-sharing functionalities like ad-hoc multi signature wallets and group decision making to retrieve assets, Antic’s new approach makes any digital asset or IP accessible to all parties interested in joining, unlocking new revenue streams for every co-owner.","Tel Aviv, Tel Aviv, Israel",11-50,Active,7000000,USD,7000000,7000000,USD,7000000,2022-09-15,contact@antic.xyz
Prograd,https://www.crunchbase.com/organization/prograd,For Profit,Private,Seed,"Credit, Financial Services, FinTech, Marketplace","Prograd is a credit marketplace for young people, enhancing the underwriting accuracy of lenders and the borrowing experience of consumers.","London, England, United Kingdom",1-10,Active,2402825,USD,2402825,2000000,GBP,2382824,2022-11-16,james@prograd.uk
B Generous,https://www.crunchbase.com/organization/bgenerous,For Profit,Private,Seed,"Financial Services, FinTech, Non Profit","B Generous is a venture-backed FinTech company that is addressing the half-a-trillion-dollar underserved donor nonprofit market in the U.S. Our mission is to unlock billions of dollars of additional liquidity for nonprofits around the country, and we accomplish this through our proprietary, and first of its kind, philanthropic credit product. B Generous is currently in stealth mode and will be deploying its product into the market in early 2022.","Los Angeles, California, United States",1-10,Active,10000000,USD,10000000,,,,2022-01-01,info@bgenerous.com
Upwardli,https://www.crunchbase.com/organization/upwardli,For Profit,Private,Seed,"Credit, Financial Services, FinTech",Upwardli is a technology-based financial services agency that helps with credit services. It helps members build their credit and savings with personalized products designed to make smart financial moves.,"Seattle, Washington, United States",1-10,Active,2949954,USD,2949954,2949954,USD,2949954,2023-02-01,info@upwardli.com
Benjamin,https://www.crunchbase.com/organization/benjamin-1caa,For Profit,Private,Pre-Seed,"Artificial Intelligence, Banking, Credit Cards, Debit Cards, FinTech, Mobile Apps, Software","Cash-rewards on every purchase,  powered by AI-bidding engine  made for merchants.   “It knows before you what you’re going to buy next, finds you extra money.”","New York, New York, United States",1-10,Active,850000,USD,850000,650000,USD,650000,2023-05-01,erno@benjaminone.com
Presta,https://www.crunchbase.com/organization/presta-c803,For Profit,Private,Pre-Seed,"Banking, FinTech, Infrastructure, Lending","Presta provides digital lending infrastructure for the banking industry. The company was founded in 2022 and is headquartered in Cleveland, Ohio.","Cleveland, Ohio, United States",1-10,Active,3320000,USD,3320000,3300000,USD,3300000,2023-03-29,
Yotepresto,https://www.crunchbase.com/organization/yotepresto-com,For Profit,Private,Seed,"Crowdfunding, Finance, Financial Services, FinTech, Lending, Peer to Peer",Yotepresto is the fastest growing Mexican-based marketplace lending platform connecting individual and institutional investors to near-prime borrowers applying for a personal loan.,"Guadalajara, Jalisco, Mexico",1-10,Active,3000000,USD,3000000,,,,2020-01-01,info@yotepresto.com
Dobby,https://www.crunchbase.com/organization/halos-insurance,For Profit,Private,Seed,"Artificial Intelligence, Big Data, Blockchain, Consumer, FinTech, Home Services, Insurance, InsurTech, Real Estate, Software","Halos offers Dobby, an AI-driven, zero-touch, fully digital home maintenance platform that outsources all things home maintenance. Halos was co-founded with Techstars. One of the first investors in Uber, Techstars launched massive companies, e.g., ClassPass, PillPack, DataRobot, and SendGrid. Our early investors include MetLife - global providers of insurance with 90 million customers in over 60 countries, and Plug and Play Ventures - one of the first investors in PayPal and Lending Club.","Washington, District of Columbia, United States",11-50,Active,4870000,USD,4870000,2900000,USD,2900000,2022-05-15,ask@hellodobby.com
Flex Finance,https://www.crunchbase.com/organization/flex-finance,For Profit,Private,Seed,"B2B, Financial Services, FinTech, Mobile Payments","Due to poor financial management, 9 out of 10 businesses in Africa will die before their 5th birthday. The problem persists as there is no Spend management platform to help these businesses manage their finances.  Leaving them at the mercy of outdated processes Businesses in Africa have high digital literacy and are willing to adopt digital tools to help them manage their finances. Flex is a spend management platform that helps businesses in Africa manage their spending via mobile, web and corporate cards.","Lagos, Lagos, Nigeria",11-50,Active,800197,USD,800197,,,,2022-10-28,gethelp@flexfinance.ai
AdvisorCheck,https://www.crunchbase.com/organization/aimr-analytics,For Profit,Private,Seed,"Financial Services, FinTech, Personal Finance","After spending decades working in financial services, we witnessed tens of billions in annual investor losses due to advisor misconduct and a lack of performance. Disheartened to see bad actors, failure to fulfill client needs, a convoluted and complex cloud of cleverly disguised intermediaries and products, we were determined to give the power back to you. Our ethos is founded on transparency. It inspired us to create a simple, fast, and intuitive service. Our goal is to elevate the Wealth Management Industry and bring clarity and insight to every investor.","Englewood Cliffs, New Jersey, United States",1-10,Active,1802000,USD,1802000,1800000,USD,1800000,2023-06-23,info@advisorcheck.com
UpBanx,https://www.crunchbase.com/organization/upbanx,For Profit,Private,Pre-Seed,"Financial Services, FinTech","Upbanx helps to manage money, get financing, grow commercial partnerships, launch digital assets and raise investments.","Jakarta, Jakarta Raya, Indonesia",11-50,Active,5200000,USD,5200000,5200000,USD,5200000,2022-01-02,Paulgregory0000@gmail.com
FranShares,https://www.crunchbase.com/organization/franshares,For Profit,Private,Pre-Seed,"Crowdfunding, Crowdsourcing, Finance, Financial Exchanges, Financial Services, FinTech, Franchise, Funding Platform",FranShares is the passive franchise investing platform for the people.  We give everyone the opportunity to diversify their portfolio while potentially earning passive income through franchise investing.,"Chicago, Illinois, United States",1-10,Active,1420000,USD,1420000,1420000,USD,1420000,2021-08-11,kennyr@franshares.com
Agora,https://www.crunchbase.com/organization/figure-da18,For Profit,Private,Seed,"Employee Benefits, Financial Services, FinTech, Human Resources, Productivity Tools, Software","Agora is a compensation platform that helps companies figure out how to pay their employees by making data-driven decisions. It helps companies centralize their data, set their pay structure, benchmark themselves against similar companies in real-time, and communicate total rewards to their candidates and employees. Figure streamlines complicated manual compensation processes into simple, secure, and collaborative workflows. Agora's mission is to bring equity and transparency to compensation for companies, employees, and candidates.","San Francisco, California, United States",11-50,Active,7500000,USD,7500000,7500000,USD,7500000,2021-05-06,hello@getagora.com
Maicoin,https://www.crunchbase.com/organization/maicoin,For Profit,Private,Seed,"Bitcoin, Finance, FinTech","MaiCoin is a Bitcoin platform providing trading and payment services. The company is addressing untapped markets in Asia for digital currency services. Starting with bitcoin, we simplify the process of acquiring, holding, and spending digital currencies on real-world goods and services.","Palo Alto, California, United States",1-10,Active,4799226,USD,4799226,4695045,USD,4695045,2017-09-19,info@maicoin.com
