Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
ABAKA Holdings,https://www.crunchbase.com/organization/abaka-holdings,Series A,"Artificial Intelligence, Finance, Financial Services, FinTech, Information Technology, Machine Learning, Retirement, SaaS, Software","ABAKA is world's first digital saving and retirement enterprise SaaS platform, powered by Artificial Intelligence. Our innovative technologies enable financial institutions to power digital saving and retirement solutions and deliver scalable and affordable advice on pensions, savings and investments to their retail customers. ABAKA’s library of modular applications helps our enterprise clients to power conversational AI, personalised and behavioural nudges, big data insights, financial dashboards and outstanding customer experiences. Today over 9 million people have access to the ABAKA technologies through our clients, and our technologies are licensed by Tier one international banks, pension providers and asset managers across multiple countries.   ABAKA’s enterprise solutions enable financial institutions to power: •	Conversational AI: on pensions, savings and investments, for both fully digital and hybrid advice. The proprietary NLP models take vast quantities of user behavioural and financial data to intelligently manage a human like conversation. •	Intelligent Behavioural Nudges: machine learning models to identify persona segmentation, power personalised insights and nudges to increase engagement and up-sell opportunities, across digital channels. •	Digital financial dashboards: data aggregation technology powering Open Banking, Pension Tracing and Pension Dashboards. •	Financial Planning Engine: retirement planning, cash flow modelling, suitability assessment, Monte-Carlo simulations for outcome & scenario driven advice","London, England, United Kingdom",11-50,Active,14820000,USD,14820000,5000000,USD,5000000,2022-05-06,fahd@abaka.me
HomeCapital,https://www.crunchbase.com/organization/homecapital,Series A,"Financial Services, FinTech, Payments, Real Estate",A tech company focused on helping people buy their first home with down payment assistance at zero interest cost.  A product that will make the difference between buying a home or not.,"Mumbai, Maharashtra, India",11-50,Active,8000000,USD,8000000,7000000,USD,7000000,2021-09-30,wecare@homecapital.in
Kredi,https://www.crunchbase.com/organization/kredi,Seed,"Credit, Financial Services, FinTech",Kredi is Rocket Mortgage for LatAm. Customers can easily secure a mortgage online.,"Monterrey, Nuevo Leon, Mexico",11-50,Active,7725000,USD,7725000,4500000,USD,4500000,2022-03-01,hola@kredi.mx
Rvvup,https://www.crunchbase.com/organization/rvvup,Seed,"Billing, Blockchain, Cryptocurrency, E-Commerce, E-Commerce Platforms, Finance, FinTech, Mobile Payments, Payments, Transaction Processing","Rvvup is a Payments 3.0 platform offering e-commerce businesses the best way to future proof their checkout without complexity.Rvvup’s purpose is to build global infrastructure that enables the interoperability of current and future payments, empowering businesses with instant settlement at much lower costs, giving billions of people the choice they now need and an improved payment experience.","London, England, United Kingdom",11-50,Active,9600000,USD,9600000,7500000,USD,7500000,2021-12-20,admin@rvvup.com
Hakbah,https://www.crunchbase.com/organization/hakbah,Seed,"Financial Services, FinTech, Predictive Analytics, Software","Hakbah is a Fintech startup focusing on an alternative financial saving. Hakbah is modernizing financial saving via its intelligent platform by offering a comprehensive one-stop-shop solution for Savings Groups to initiate, manage, join, and pay directly within the mobile app.","Riyadh, Ar Riyad, Saudi Arabia",1-10,Active,3199680,USD,3199680,2000000,USD,2000000,2023-04-12,
XILO,https://www.crunchbase.com/organization/xilo,Seed,"Auto Insurance, Commercial Insurance, FinTech, Insurance, InsurTech, Property Insurance, SaaS, Sales Automation, Software","XILO is a workflow automation platform designed for traditional insurance agencies and companies. It helps them to improve the connection between online and offline customer experiences, automate back-office tasks, and integrate multiple systems to minimize data entry. This allows these companies to stay competitive and adapt to the changing market.","San Diego, California, United States",11-50,Active,6000000,USD,6000000,5560000,USD,5560000,2020-12-18,team@xilo.io
LUDEX,https://www.crunchbase.com/organization/ludex,Seed,"Financial Services, FinTech, Information Technology, Sports, Trading Platform","LUDEX is a sports and trading card scanning application that digitizes trading-card collections. It utilizes technology to identify, digitize, and organize card collections on a subscription basis and helps trading-card enthusiasts track the value of card collections. The company was founded in 2021 and is headquartered in Chicago, Illinois.","Chicago, Illinois, United States",11-50,Active,9100000,USD,9100000,8000000,USD,8000000,2023-03-29,
Klaim,https://www.crunchbase.com/organization/klaim,Seed,"Financial Services, FinTech, Health Insurance, InsurTech, SaaS","Klaim is an InsureTech platform offering a SaaS medical claim management and financing platform all in one. They provide them with total visibility on their revenue cycle, increase their revenue through reduced claim processing time and errors, and faster payments.","Dubai, Dubai, United Arab Emirates",11-50,Active,7720000,USD,7720000,5000000,USD,5000000,2022-11-17,
RiskHarbor,https://www.crunchbase.com/organization/risk-harbor,Seed,"Blockchain, FinTech, Software","RiskHarbor is the world's leading risk management marketplace for digital assets that pioneered a completely automated, transparent, and impartial invariant detection mechanism to secure users against digital asset risks, hacks, and attacks.","San Francisco, California, United States",1-10,Active,3500000,USD,3500000,3500000,USD,3500000,2021-04-28,
Qira,https://www.crunchbase.com/organization/qira,Series A,FinTech,"PropTech, FinTech, Property Management, Residential Property Management, Residential Real Estate, Rent Processing, Security Deposit Alternative","New York, New York, United States",11-50,Active,8000000,USD,8000000,8000000,USD,8000000,2021-08-17,hello@qira.com
Infinant,https://www.crunchbase.com/organization/infinant,Seed,"Financial Services, FinTech, Productivity Tools, Software","Infinant is a FinTech company developing tools to help banks thrive in the digital fintech and finance markets. Infinant enables banks to embed fintech in their applications and embed banking in partner applications with ease. The company's Interlace Platform offers banks a choice in their selection of features, fintech, and processors for the complete ownership of their ecosystem, so they can succeed with their customers, fintech, and brands. The modern finance platform allows banks to offer financial services in ways that are secure, compliant, and bring value to their business.","Charlotte, North Carolina, United States",11-50,Active,5000000,USD,5000000,5000000,USD,5000000,2023-03-23,info@infinant.com
KiWi,https://www.crunchbase.com/organization/kiwi-4,Series A,"Financial Services, FinTech, Micro Lending, Mobile Payments, Payments, Software","KiWi provides micro-merchants with access to appropriate digital technology, thereby contributing to a fair and competitive market. Merchants can use their KiWi app to accept card and mobile payments, gain access to microcredit, and earn more money by selling additional KiWi services and products. KiWi was founded in 2014 and has offices in Switzerland and Mexico.","Lausanne, Vaud, Switzerland",11-50,Active,7716021,USD,7716021,3200000,USD,3200000,2019-01-22,investors@conkiwi.com
Plentina,https://www.crunchbase.com/organization/plentina,Seed,"Credit, Financial Services, FinTech, Lending, Machine Learning",Plentina builds an alternative credit score and application that provides store credit financing to buy essentials like food and medicine in emerging markets using machine learning algortithms. The company was founded in 2019 and is headquartered in,"Parañaque, Rizal, Philippines",11-50,Active,5070000,USD,5070000,2200000,USD,2200000,2021-11-14,
Foundy,https://www.crunchbase.com/organization/foundy,Seed,"B2B, Enterprise Software, Finance, Financial Services, FinTech, Marketplace, SaaS","Foundy has modernised the end to end acquisition process with it's all in one digital platform. Our founder, JP Lewin, and expert team have experience building and selling companies which has provided key insight into the unnecessary inefficiencies, complexities and costs of running a traditional M&A process. Foundy's SaaS enabled platform streamlines the transaction process through digital tools, AI and expert M&A advisors. Foundy seamlessly connects founders to relevant acquirers who can then complete efficient due diligence and legal documentation. We can also prepare users data rooms with professionally prepared information memorandums and other key documents. We support our wider community through educational videos, blogs, events and tutorials. The Foundy team welcomes you to create a free account as a seller or buyer or join our newsletter via foundy.com. Feel free to reach out if you are a prospective investor or journalist interested in working with Foundy. hello@foundy.com","London, England, United Kingdom",11-50,Active,1250000,GBP,1511875,1250000,GBP,1511874,2022-08-16,hello@foundy.com
